حلقہ نمبر3 بھوانہ,,,,,,,
صفحہ,بستی کا نام,یونین کونسل,مساجد,جماعتیں,ساتھی,نقشے پر ایڈریس,
50,ٹھٹے والی مسجد,,1,1,0,31051,32075
27,ٹوپے سپرا,,1,1,0,31080,32078
50,ثاقب موڑ,,1,1,0,31050,32076
47,جانگلو (قمرآباد)184,,3,3,0,31058,32101
42,جپہ آبادی,,0,0,0,31063,32092
34,جنڈ والی کالونی,,1,1,0,31077,32098
34,جنڈی والا,,1,1,0,31078,32098
42,جھانب دا کھوہ,,1,1,0,31067,32099
26,جھگے آہیر,,2,2,0,31080,32088
46,جھلار نتھو شاہ,,1,1,0,31069,32054
43,جھوک بلوچاں,,1,1,0,31068,32086
42,جوڑا بنگلا,,1,1,0,31060,32090
48,جوڑے,,1,1,0,31050,32098
48,جوڑے,,0,0,0,31050,32097
34,جوڑے کھوہ,,2,2,0,31079,32099
50,چاہ الاول والا,,1,1,0,31058,32070
44,چاہ امیر والا,,1,1,0,31064,32076
42,چاہ اینو,,1,1,0,31066,32091
51,چاہ بسالت کے,,1,1,0,31059,32067
34,چاہ بہادر پھتو,,1,1,0,31070,32096
36,چاہ بھٹیاں والا,,1,1,4,31072,32076
44,چاہ بوٹی والا,,2,2,0,31064,32075
50,چاہ بوڑے والا,,1,1,2,31058,32070
43,چاہ پپلی والا,,1,1,0,31066,32089
44,چاہ پمپ نون,,1,1,0,31066,32070
34,چاہ ٹنڈیاں والا,,1,1,0,31076,32096
36,چاہ جپے,,1,0,0,31070,32071
43,چاہ جتو والا,,3,3,0,31067,32088
44,چاہ جنڈاں والا,,1,1,0,31063,32072
44,چاہ خان والا,,2,2,0,31068,32074
43,چاہ رجوکیاں والا,,1,1,0,31067,32087
50,چاہ سلووالا,,1,1,0,31056,32074
45,چاہ سنارا,,1,1,0,31063,32069
44,چاہ سیال والا,,0,0,0,31062,32079
34,چاہ غلام علی,,0,0,0,31076,32097
34,چاہ لنڈ,,1,1,0,31072,32094
43,چاہ ماہلڑیاں,,1,1,0,31066,32088
44,چاہ محمد خان والا,,1,0,0,31068,32072
35,چاہ نیانیکا,,1,1,0,31072,32086
37,چاہ ہندلانہ,,1,1,0,31070,32068
42,چاہ ہیراں,,1,1,0,31069,32098
34,چاہ ھرل لونے,,1,1,0,31070,32098
34,چاہ وسیراں,,1,1,0,31072,32097
44,چاہ ولہ رائے,,1,1,0,31064,32070
42,چک 154 لدھیانہ,,2,2,0,31065,32098
42,چک 155 سجن کا,,1,1,2,31064,32098
42,چک 156 ساہمل,,2,2,0,31066,32095
42,چک 157 وگھ,,3,3,6,31064,32094
43,چک 186 کلیار,,2,2,0,31060,32088
44,چک 191 کھوکھراں,,1,1,0,31061,32078
44,چک 194 چھوٹی آبادی,,1,1,0,31061,32076
44,چک 194 سیال والا,,1,1,0,31061,32076
50,چک 195 بھلو,,3,2,1,31059,32076
53,چک 201 جونگے لک,,1,1,0,31048,32094
48,چک 208 ساہمل,,3,3,0,31056,32092
50,چک 224 چچکانہ,,2,2,1,31058,32078
50,چک 225 چچکانہ,,2,2,0,31056,32077
50,چک 228 کیمیکا چھوٹی آبادی,,1,1,2,31056,32078
50,چک 229 کیمیکا,,5,4,8,31058,32074
50,چک 229 کیمیکا اڈہ,,1,1,2,31057,32075
42,چک 234 کانیاں والی,,2,2,1,31062,32098
48,چک 247 جوتے,,3,3,1,31052,32098
50,چک بھروانہ,,1,1,0,31054,32078
48,چک تارڑ 210,,2,2,0,31053,32090
48,چک رحموآنہ,,5,5,0,31050,32092
54,چک سرگانہ 212,,1,1,0,31049,32087
50,چک سہو 228,,2,2,4,31054,32075
47,چک سیال,,3,3,0,31058,32100
50,چک شیخاں,,1,1,2,31054,32076
54,چک فقیراں 212,,1,1,0,31048,32085
49,چک گھوڑیاں 222,,1,1,0,31058,32082
42,چک منارا 158,,1,1,0,31066,32090
42,چک156ساہمل کھوکھر,,2,2,50,31067,32095
45,چکی,,0,0,0,31061,32069
44,چمڑا موڑ,,2,2,0,31065,32073
49,چنڈڑاں والا243,,1,1,0,31052,32081
43,چھانجے والا,,0,0,0,31068,32085
43,چھچھوآں دیاں ڈھاریاں,,0,0,0,31069,32085
43,چھچھوآں دیاں ڈھاریاں,,0,0,0,31068,32086
44,چھوٹا باٹی والا,,1,1,0,31062,32079
43,چھوٹا خانوآنہ,,2,2,1,31065,32080
51,چھوٹا کلر والا,,1,1,1,31057,32068
42,چوک چکیاں,,1,1,0,31064,32091
45,چوکھیاں والا,,0,0,0,31062,32069
35,چوگھے کی جھلار,,1,1,1,31073,32080
43,حاجی احمد شیر سپراء,,0,0,0,31062,32089
34,حاجی ممتاز ڈیرہ,,1,1,0,31078,32098
43,حاکمے والا,,3,3,0,31064,32085
34,حسین آباد,,1,1,0,31073,32099
35,حسین دی جھلار,,1,1,0,31078,32083
44,حویلی باٹا,,2,2,12,31066,32076
35,حویلی چدھڑ نزد قلعہ کنگراں,,1,1,0,31076,32086
42,حویلی چدھڑ نزد چوک چکیاں,,1,1,0,31064,32092
42,حیبوآنہ چک 235,,2,1,1,31060,32098
42,خان دا کوٹ,,1,1,0,31066,32091
43,خانوآنہ بڑا 446,,3,1,3,31066,32081
49,خوشحال کارمانہ 223,,1,1,0,31055,32082
43,خوشحال کے رمانہ 223,,2,1,1,31060,32082
34,خیر آباد,,1,1,0,31073,32096
49,داد والا بنگلہ,,1,1,0,31053,32089
35,دربار خضر الیاس,,0,0,0,31071,32087
34,درٹہ,,2,2,0,31074,32092
34,درٹہ کالونی,,1,1,0,31072,32094
43,درٹہ کھوہ نزد چاہ ماہلڑیاں والا,,1,1,0,31066,32088
44,درٹہ کھوہ نزد چک 191 کھوکھر,,1,1,0,31061,32078
34,درکھاناں والا,,1,1,2,31077,32099
50,دلو والی چک 227,,1,1,0,31053,32076
44,دھدر والا,,1,1,0,31066,32073
48,دھلو والی بڑی 239,,2,2,0,31059,32091
49,دھلو والی چھوٹی,,1,1,0,31058,32089
36,دوست محمد لالی برج,,1,1,0,31074,32070
49,دیوکہ چک 244,,1,1,0,31050,32084
43,ڈپٹی دا چک,,2,2,0,31065,32083
42,ڈھاری اللہ یار رئیس,,0,0,0,31061,32098
35,ڈھاری لونیاں دی,,0,0,0,31071,32088
42,ڈھاری وربھواں دیاں,,1,1,0,31061,32097
42,ڈھاریاں حاجی احمدنواز,,1,1,0,31062,32096
42,ڈھاریاں عابد وربھو,,0,0,0,31061,32096
36,ڈھپر کے,,2,1,0,31071,32079
45,ڈھنڈے شاہ نزد سرکی آبادیاں,,1,1,0,31060,32066
